it22,it23,it24,it25,it26,it27,it28,it29,woman,over40,ID
1,1,2,2,1,1,1,1,1,0,1
1,1,1,0,1,2,2,2,1,0,2
1,1,0,1,1,1,1,1,0,1,3
1,1,1,2,2,2,1,1,0,1,4
1,1,1,2,1,1,2,0,1,1,5
1,1,1,0,0,0,0,0,1,1,6
0,0,2,2,1,1,1,0,1,1,7
0,1,1,0,0,0,0,1,1,1,8
0,0,0,0,0,1,1,0,1,1,9
1,1,2,1,1,1,1,1,1,1,10
0,0,1,0,0,1,1,1,1,0,11
1,1,0,0,0,1,2,0,0,1,12
1,1,2,1,1,1,1,1,1,1,13
1,1,2,2,2,1,0,2,1,1,14
1,1,2,2,1,1,1,1,0,1,15
2,2,1,2,1,2,2,0,1,1,16
1,1,0,0,0,2,2,0,1,1,17
2,2,1,2,2,2,2,2,0,1,18
1,1,,0,1,2,2,2,0,1,19
0,1,2,1,1,1,1,0,1,1,20
1,1,2,2,2,1,0,1,0,1,21
2,2,1,0,1,1,2,2,1,1,22
1,1,1,1,1,1,1,2,1,1,23
2,2,1,1,2,2,1,2,1,1,24
1,1,2,2,2,1,2,2,1,1,25
1,1,1,1,0,,,0,1,0,26
2,1,1,2,2,0,1,1,1,1,27
2,2,0,1,1,2,2,1,1,1,28
1,1,1,1,1,1,1,1,1,1,29
2,2,2,2,2,2,2,2,0,1,30
2,2,0,0,1,2,2,1,0,1,31
2,2,0,1,2,2,2,1,1,1,32
1,2,1,0,1,1,1,1,1,0,33
2,1,2,1,1,1,2,0,1,0,34
1,1,0,0,1,1,2,0,1,0,35
2,2,1,2,2,2,2,1,0,1,36
0,0,2,2,0,0,0,0,1,1,37
2,2,2,1,1,1,1,2,1,1,38
1,1,2,2,1,2,2,2,1,0,39
2,1,1,1,1,1,2,1,1,1,40
0,1,2,2,1,1,1,2,0,1,41
2,2,,2,2,2,2,2,1,1,42
1,1,0,0,0,1,0,0,1,1,43
2,1,0,1,1,1,1,1,1,1,44
1,1,2,2,2,0,2,2,1,1,45
0,2,2,1,2,1,2,1,1,1,46
1,1,1,1,0,2,2,0,1,1,47
2,2,1,1,2,2,2,1,1,1,48
2,2,0,0,2,2,2,2,1,1,49
0,0,0,1,1,1,1,1,1,1,50
2,1,0,0,0,2,0,1,0,1,51
0,0,0,0,1,0,1,0,1,1,52
1,0,,1,1,1,1,0,1,1,53
2,,1,0,0,0,1,0,1,0,54
0,0,1,0,0,1,1,1,1,1,55
0,0,0,0,0,1,1,2,1,1,56
1,1,0,2,2,2,2,2,1,1,57
1,1,0,1,1,2,1,0,0,0,58
1,1,0,0,1,1,1,0,1,1,59
0,0,2,2,0,0,0,0,1,1,60
0,0,1,2,0,0,1,2,0,1,61
2,2,0,0,1,2,0,2,1,1,62
0,0,0,0,0,0,1,0,1,1,63
1,1,0,0,0,1,0,0,0,1,64
0,0,0,0,0,0,0,0,1,1,65
0,0,0,0,0,0,0,0,0,1,66
0,0,0,0,0,0,0,0,0,1,67
0,0,0,0,0,0,0,0,0,1,68
0,0,0,0,0,,2,0,1,0,69
2,2,0,0,2,2,2,2,1,1,70
1,1,2,1,1,1,2,1,1,1,71
,,,,,,,,1,1,72
,,,,,,,,1,1,73
,,,,,,,,1,1,74
,,,,,,,,1,1,75
1,1,1,1,1,1,2,1,1,1,76
2,2,2,2,2,2,2,2,0,0,77
1,1,0,0,1,2,0,0,1,1,78
1,1,2,1,1,1,2,1,1,1,79
2,2,1,1,1,2,2,0,1,0,80
0,0,2,0,1,0,1,1,1,1,81
1,1,0,2,1,1,1,1,1,1,82
1,2,1,1,0,2,2,1,1,1,83
2,2,0,0,2,1,1,2,1,1,84
1,1,0,2,0,1,1,1,1,1,85
1,1,2,1,1,1,1,1,1,1,86
1,1,0,0,0,0,0,0,1,1,87
0,1,1,1,1,1,0,1,1,1,88
1,1,2,1,2,1,0,1,1,1,89
2,2,0,2,1,2,2,2,1,1,90
1,1,2,0,2,2,2,2,1,1,91
1,0,0,0,2,1,0,2,0,1,92
2,2,1,0,1,1,1,1,1,1,93
0,0,1,1,1,2,2,2,1,1,94
1,1,1,0,0,1,1,1,1,1,95
1,1,,0,0,1,,0,1,1,96
1,1,1,1,1,1,1,0,1,1,97
0,0,0,1,1,1,1,0,0,1,98
1,1,0,0,1,1,1,1,0,1,99
0,0,0,0,0,1,2,0,0,1,100
1,1,2,1,0,1,1,1,0,1,101
1,1,0,0,0,1,1,1,0,1,102
0,0,0,0,0,0,0,0,1,1,103
1,0,1,1,1,1,1,2,1,1,104
2,2,1,2,1,2,2,2,1,1,105
0,2,2,2,2,2,1,2,0,0,106
1,1,1,1,1,1,1,1,1,1,107
0,0,0,0,1,0,1,1,1,1,108
2,2,0,1,1,1,1,2,0,1,109
1,1,0,0,1,2,2,1,1,1,110
1,1,0,0,1,1,1,2,1,1,111
0,0,1,0,1,1,1,0,1,1,112
0,0,0,0,1,1,1,0,1,1,113
1,1,2,2,2,1,2,1,1,1,114
2,2,2,2,2,2,2,2,1,1,115
2,2,1,0,2,2,2,2,1,1,116
1,1,1,1,1,2,1,1,0,1,117
1,1,1,1,2,1,2,2,1,1,118
1,1,1,1,1,1,0,0,1,0,119
1,1,2,2,2,1,1,1,1,1,120
1,1,0,0,1,1,1,0,1,1,121
0,0,0,0,1,0,0,0,1,1,122
2,2,0,1,2,1,2,2,0,1,123
1,0,1,1,1,1,1,1,1,1,124
2,2,2,2,2,2,1,2,1,1,125
0,1,1,1,1,1,0,2,0,1,126
0,0,1,0,0,1,1,1,1,1,127
2,2,0,0,1,1,1,2,0,1,128
2,2,1,2,2,2,2,2,1,1,129
1,2,2,2,1,2,1,1,1,1,130
2,2,0,0,1,2,2,2,1,0,131
2,2,0,2,2,2,2,2,1,1,132
2,1,1,2,2,2,2,2,1,1,133
1,1,1,1,2,1,1,0,0,0,134
1,1,0,1,1,0,1,1,1,1,135
1,2,0,0,1,1,1,0,1,1,136
1,1,0,0,1,1,1,0,0,0,137
0,0,2,0,1,1,1,0,1,1,138
0,0,0,1,1,1,1,0,1,1,139
1,0,1,0,0,0,0,0,1,1,140
1,1,0,1,1,2,2,2,0,1,141
0,0,0,0,0,1,1,2,1,1,142
1,1,1,1,2,1,1,1,1,1,143
1,1,0,0,0,1,0,0,1,0,144
1,0,2,1,2,2,2,0,0,0,145
0,0,1,0,0,2,2,0,1,1,146
1,1,0,0,0,1,0,0,1,1,147
0,0,0,0,0,,1,1,1,1,148
0,1,0,0,0,1,1,0,1,1,149
1,1,0,1,1,1,1,1,1,1,150
1,2,0,1,0,2,1,1,1,1,151
1,1,1,1,1,1,1,1,1,1,152
1,1,0,0,1,1,2,1,1,1,153
1,1,0,1,1,2,2,2,1,1,154
1,1,1,1,1,1,1,0,1,1,155
0,0,0,0,1,1,1,0,1,1,156
0,0,1,0,0,1,0,0,1,1,157
1,1,0,0,1,2,1,0,0,0,158
2,2,0,0,0,2,1,1,1,1,159
1,1,0,1,0,1,2,1,1,1,160
1,0,0,0,1,2,1,0,1,1,161
0,0,1,2,2,2,1,2,1,1,162
2,2,1,0,2,1,0,0,0,1,163
0,0,1,0,0,1,0,0,1,1,164
0,0,0,1,0,0,1,0,1,1,165
0,0,0,0,0,1,0,0,1,1,166
2,2,0,2,0,2,2,1,1,1,167
1,1,1,0,1,1,2,1,1,1,168
1,1,0,2,2,1,1,1,1,1,169
0,1,0,0,0,2,2,0,1,1,170
1,1,0,0,1,1,0,0,1,1,171
1,1,1,2,2,0,0,0,1,1,172
0,0,0,0,0,0,0,0,0,1,173
1,1,0,0,0,1,0,0,1,1,174
1,1,0,0,0,1,1,1,1,1,175
1,1,0,0,0,1,1,0,0,1,176
1,1,0,0,2,1,1,1,1,1,177
1,1,0,0,2,1,1,2,0,1,178
1,1,0,0,0,1,1,1,0,1,179
0,0,1,0,1,0,0,0,0,1,180
0,0,0,1,0,1,1,1,0,1,181
1,1,0,0,0,1,1,0,0,1,182
0,0,0,0,0,0,0,1,1,1,183
1,1,1,0,0,2,2,2,1,1,184
0,0,1,0,0,0,0,1,0,1,185
0,0,0,0,0,1,0,0,1,1,186
0,0,0,0,0,1,0,0,1,1,187
1,0,0,0,0,0,0,0,0,1,188
0,0,0,0,0,0,0,0,1,1,189
0,0,0,0,0,0,0,0,1,0,190
0,0,0,0,0,0,0,0,1,0,191
,,,,,,,,0,1,192
,,,,,,,,1,1,193
,,,,,,,,1,1,194
,,,,,,,,1,1,195
,,,,,,,,1,1,196
,,,,,,,,1,0,197
,,,,,,,,0,0,198
,,,,,,,,1,1,199
,,,,,,,,1,1,200
,,,,,,,,1,1,201
,,,,,,,,1,1,202
,,,,,,,,1,1,203
,,,,,,,,1,1,204
0,1,0,1,1,2,,0,1,1,205
2,2,2,0,0,0,2,2,1,1,206
1,1,1,1,1,1,1,0,1,1,207
2,1,2,2,2,2,2,1,0,1,208
1,1,0,1,1,1,1,1,1,1,209
2,2,1,1,1,0,1,0,1,1,210
1,1,2,1,1,1,1,1,1,1,211
1,1,0,2,1,2,2,1,1,1,212
1,1,1,1,2,1,1,1,1,1,213
1,1,1,0,1,1,2,1,1,1,214
1,1,0,1,1,1,1,1,1,0,215
2,2,2,2,0,2,1,2,1,1,216
1,1,0,0,0,1,1,0,1,1,217
1,1,2,1,1,1,1,1,1,1,218
1,1,0,2,2,2,2,2,1,0,219
0,0,0,0,0,0,0,0,1,1,220
0,0,1,2,1,2,1,1,1,1,221
2,1,1,0,0,0,1,0,1,1,222
2,2,1,2,1,1,2,1,1,1,223
0,0,1,1,1,0,1,1,1,1,224
1,1,1,0,1,1,1,2,0,1,225
1,1,2,1,1,1,1,1,0,1,226
1,1,1,1,1,1,2,1,0,1,227
0,0,0,0,0,1,2,2,1,1,228
1,1,2,1,2,2,2,2,1,0,229
0,0,0,0,0,1,1,1,1,1,230
2,2,1,1,1,2,2,1,1,0,231
0,0,0,1,0,1,1,0,0,1,232
1,1,1,0,0,1,1,1,1,0,233
1,1,0,2,2,1,2,1,1,1,234
2,2,2,1,1,1,2,1,1,1,235
0,0,0,0,1,1,1,0,1,0,236
0,0,2,2,2,2,0,0,1,1,237
1,1,0,2,1,2,2,2,1,1,238
0,0,0,0,0,1,1,2,1,1,239
2,1,1,1,1,1,1,1,1,1,240
1,0,1,1,1,1,1,1,1,0,241
0,0,0,0,0,0,0,0,1,1,242
2,2,1,1,1,2,2,2,0,0,243
1,1,1,1,1,1,1,2,0,0,244
0,1,0,0,0,0,0,0,1,1,245
0,0,1,0,0,1,1,0,1,1,246
1,1,1,2,0,2,1,2,1,1,247
0,1,0,0,0,2,1,0,1,1,248
0,0,1,0,1,0,0,1,1,1,249
1,1,0,0,2,2,1,0,0,0,250
1,1,0,1,1,1,1,0,0,1,251
1,1,0,0,1,0,1,0,1,1,252
1,1,0,2,0,1,1,1,0,0,253
1,1,0,0,0,1,1,1,1,1,254
0,1,2,2,2,1,1,0,1,1,255
0,0,0,0,1,1,1,0,1,1,256
0,0,0,0,0,1,1,0,1,1,257
0,1,0,0,0,2,2,0,1,1,258
0,0,0,0,0,1,0,0,0,1,259
0,0,0,0,0,0,0,0,1,1,260
0,0,0,0,0,0,0,0,1,1,261
1,1,1,1,1,1,1,1,0,1,262
1,2,0,0,0,2,1,1,1,1,263
0,0,0,0,1,1,1,0,1,1,264
1,1,2,2,1,2,1,1,1,1,265
,,,,,,,1,1,0,266
,,,,,,,,1,1,267
,,,,,,,,1,1,268
,,,,,,,,1,1,269
,,,,,,,,1,1,270
,,,,,,,,1,1,271
,,,,,,,,1,1,272
,,,,,,,,0,1,273
,,,,,,,,1,1,274
,,,,,,,,1,1,275
,,,,,,,,1,1,276
,,,,,,,,1,1,277
,,,,,,,,1,1,278
,,,,,,,,0,1,279
,,,,,,,,1,1,280
,,,,,,,,1,1,281
,,,,,,,,1,1,282
,,,,,,,,1,0,283
1,1,0,0,1,1,1,1,1,1,284
0,1,1,0,1,1,0,0,0,1,285
